Time (s);Electrode;Attention;Meditation;Sampling Rate
1.742188;113.000000;43.000000;75.000000;
1.744141;204.000000;43.000000;75.000000;
1.746094;276.000000;43.000000;75.000000;
1.748047;316.000000;43.000000;75.000000;
1.750000;329.000000;43.000000;75.000000;
1.751953;347.000000;43.000000;75.000000;
1.753906;386.000000;43.000000;75.000000;
1.755859;437.000000;43.000000;75.000000;
1.757813;519.000000;43.000000;75.000000;
1.759766;601.000000;43.000000;75.000000;
1.761719;625.000000;43.000000;75.000000;
1.763672;610.000000;43.000000;75.000000;
1.765625;595.000000;43.000000;75.000000;
1.767578;592.000000;43.000000;75.000000;
1.769531;631.000000;43.000000;75.000000;
1.771484;677.000000;43.000000;75.000000;
1.773438;709.000000;43.000000;75.000000;
1.775391;732.000000;43.000000;75.000000;
1.777344;747.000000;43.000000;75.000000;
1.779297;757.000000;43.000000;75.000000;
1.781250;752.000000;43.000000;75.000000;
1.783203;749.000000;43.000000;75.000000;
1.785156;764.000000;43.000000;75.000000;
1.787109;801.000000;43.000000;75.000000;
1.789063;809.000000;43.000000;75.000000;
1.791016;770.000000;43.000000;75.000000;
1.792969;743.000000;43.000000;75.000000;
1.794922;787.000000;43.000000;75.000000;
1.796875;858.000000;43.000000;75.000000;
1.798828;871.000000;43.000000;75.000000;
1.800781;809.000000;43.000000;75.000000;
1.802734;737.000000;43.000000;75.000000;
1.804688;713.000000;43.000000;75.000000;
1.806641;753.000000;43.000000;75.000000;
1.808594;797.000000;43.000000;75.000000;
1.810547;801.000000;43.000000;75.000000;
1.812500;758.000000;43.000000;75.000000;
1.814453;714.000000;43.000000;75.000000;
1.816406;715.000000;43.000000;75.000000;
1.818359;726.000000;43.000000;75.000000;
1.820313;712.000000;43.000000;75.000000;
1.822266;698.000000;43.000000;75.000000;
1.824219;695.000000;43.000000;75.000000;
1.826172;668.000000;43.000000;75.000000;
1.828125;634.000000;43.000000;75.000000;
1.830078;640.000000;43.000000;75.000000;
1.832031;676.000000;43.000000;75.000000;
1.833984;693.000000;43.000000;75.000000;
1.835938;666.000000;43.000000;75.000000;
1.837891;635.000000;43.000000;75.000000;
1.839844;626.000000;43.000000;75.000000;
1.841797;661.000000;43.000000;75.000000;
1.843750;688.000000;43.000000;75.000000;
1.845703;636.000000;43.000000;75.000000;
1.847656;584.000000;43.000000;75.000000;
1.849609;593.000000;43.000000;75.000000;
1.851563;573.000000;43.000000;75.000000;
1.853516;505.000000;43.000000;75.000000;
1.855469;473.000000;43.000000;75.000000;
1.857422;501.000000;43.000000;75.000000;
1.859375;530.000000;43.000000;75.000000;
1.861328;517.000000;43.000000;75.000000;
